iter	Passed	Remaining
0	25	25753
1	52	26063
2	79	26295
3	105	26376
4	133	26569
5	159	26443
6	185	26323
7	214	26553
8	240	26529
9	296	29378
10	323	29064
11	349	28787
12	375	28536
13	400	28202
14	427	28051
15	451	27771
16	477	27632
17	505	27580
18	533	27524
19	559	27391
20	584	27257
21	612	27247
22	640	27199
23	667	27126
24	695	27127
25	722	27072
26	749	27002
27	775	26927
28	804	26939
29	833	26965
30	864	27036
31	895	27085
32	928	27221
33	965	27432
34	998	27538
35	1031	27617
36	1055	27461
37	1080	27346
38	1108	27308
39	1133	27206
40	1158	27106
41	1189	27137
42	1219	27142
43	1248	27117
44	1279	27156
45	1304	27060
46	1331	26991
47	1357	26919
48	1387	26920
49	1416	26917
50	1446	26923
51	1475	26896
52	1500	26818
53	1529	26787
54	1557	26755
55	1584	26714
56	1616	26748
57	1648	26777
58	1679	26793
59	1712	26832
60	1745	26867
61	1776	26880
62	1805	26860
63	1834	26825
64	1863	26812
65	1894	26808
66	1923	26784
67	1952	26764
68	1980	26719
69	2008	26686
70	2035	26636
71	2064	26610
72	2096	26618
73	2125	26591
74	2154	26567
75	2182	26531
76	2212	26517
77	2240	26478
78	2267	26430
79	2294	26390
80	2322	26346
81	2348	26295
82	2376	26257
83	2404	26217
84	2432	26183
85	2458	26133
86	2488	26120
87	2519	26111
88	2547	26079
89	2575	26041
90	2601	25991
91	2629	25947
92	2655	25894
93	2680	25833
94	2706	25780
95	2731	25723
96	2758	25681
97	2784	25628
98	2810	25580
99	2836	25529
100	2862	25477
101	2887	25424
102	2922	25447
103	2956	25467
104	2987	25461
105	3014	25425
106	3039	25363
107	3063	25305
108	3088	25243
109	3112	25186
110	3137	25130
111	3163	25080
112	3187	25023
113	3213	24973
114	3238	24920
115	3273	24943
116	3296	24881
117	3323	24840
118	3347	24785
119	3372	24728
120	3397	24679
121	3422	24627
122	3446	24577
123	3472	24532
124	3498	24492
125	3525	24455
126	3552	24420
127	3578	24377
128	3603	24330
129	3628	24286
130	3653	24237
131	3691	24276
132	3722	24267
133	3749	24234
134	3775	24190
135	3801	24150
136	3826	24103
137	3852	24062
138	3880	24037
139	3906	23997
140	3931	23948
141	3955	23901
142	3979	23850
143	4003	23798
144	4027	23749
145	4052	23705
146	4078	23663
147	4101	23612
148	4125	23564
149	4151	23524
150	4177	23485
151	4200	23435
152	4224	23386
153	4255	23379
154	4294	23413
155	4322	23384
156	4350	23359
157	4381	23348
158	4410	23331
159	4441	23318
160	4474	23315
161	4508	23321
162	4540	23317
163	4577	23333
164	4609	23326
165	4642	23322
166	4675	23323
167	4709	23321
168	4737	23296
169	4765	23264
170	4794	23242
171	4822	23212
172	4849	23182
173	4877	23155
174	4908	23140
175	4938	23122
176	4969	23106
177	4997	23076
178	5026	23053
179	5053	23023
180	5080	22986
181	5106	22952
182	5134	22921
183	5160	22885
184	5186	22849
185	5213	22814
186	5239	22780
187	5264	22739
188	5290	22701
189	5316	22664
190	5342	22629
191	5368	22593
192	5395	22558
193	5421	22522
194	5445	22481
195	5473	22453
196	5499	22415
197	5525	22382
198	5552	22347
199	5576	22307
200	5604	22276
201	5630	22242
202	5656	22209
203	5684	22180
204	5711	22148
205	5737	22112
206	5764	22085
207	5791	22052
208	5817	22017
209	5843	21980
210	5869	21947
211	5894	21911
212	5921	21879
213	5951	21858
214	5979	21833
215	6008	21808
216	6036	21780
217	6066	21760
218	6094	21733
219	6120	21700
220	6149	21677
221	6177	21649
222	6204	21619
223	6229	21579
224	6254	21543
225	6279	21505
226	6304	21469
227	6329	21432
228	6354	21393
229	6379	21356
230	6405	21322
231	6429	21283
232	6454	21248
233	6480	21214
234	6506	21180
235	6531	21145
236	6556	21108
237	6582	21075
238	6611	21051
239	6638	21021
240	6663	20987
241	6690	20955
242	6715	20921
243	6741	20886
244	6766	20851
245	6791	20816
246	6817	20784
247	6841	20746
248	6866	20708
249	6890	20672
